卦號	卦名	卦辭	關鍵	六十四卦的序列	相關詞	運勢	願望	愛情?關係	婚姻	個性	事業和策略	住宅	行情	旅行	生病?病狀	爻辭1	爻辭2	爻辭3	爻辭4	爻辭5	爻辭6	爻辭7	爻辭8
23	剝	?，不利有攸往。	陰試圖削除陽的形狀。	至飾然後亨則盡矣，故受之以剝，剝者剝也。	剝落，山崩、孤立、衰老、敵意很多、從上向下看。	像山崩時般的步伐不穩定。	散財和煩惱很多，但回報不大，願望不會實現。	女人強勢，男人在身心上都筋疲力盡。	最好停止。	獨斷的，不與周圍的人親和而孤立。		基礎不足或老化的房屋。	當處於高位時，可能會暴跌。	取消，吉。	腦出血、頭痛、頭部腫脹、僵硬的肩膀、背部僵硬、壓力、憂鬱、過勞等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 ??以足。蔑貞。凶。 （床腳掉了下來。因為邪惡的東西試圖從腳下摧毀正道，凶。） → 運氣下降的時候。需要重新審視和修復自身的基礎與和手下的關係。	六二 ??以辨。蔑貞。凶。 （睡覺的床板的主體也掉了下來。邪惡的東西試圖摧毀正道，越來越凶。） → 運氣的衰退將進一步推進，必須對一切保持警惕。被信任的部下背叛，妨礙。應該清除身邊的障礙時。	六三 ?之。無咎。 (擺脫與壞朋友的關係，與君子結交。那樣的話，就沒有罪咎。) → 即使捨棄目前的關係，還是應該做正確的事。回到自己的信仰。	六四 ??以膚。凶。 （睡覺的床板和床腳全部都掉了下來，最後連自己的皮膚也被剝落。大難已經臨頭。） → 當壞事具體的出現，重要關頭堵住之時。把逃跑作為第一要考慮。為以後重新出發做好準備。	六五 貫魚，以宮人寵。無不利。 （作為為國王服務的宮人的頭頭，後宮嬪妃有如魚貫般很有秩序的排列，受到寵愛，無往不利。） → 從最有影響力的人那裡獲得支援。然而，當自己一人受到寵愛時，把周圍的人作為敵人，要注意周圍的環境。	上九 碩果不食。君子得輿、小人?廬。 （大的果實一個都沒有被吃，剝落到極致的時候，如果最後留下的人是君子，得輿且獲得民意，如果是像一般人的小人的話房舍毀壞，最後無法使用。） → 有力量的人的話，在危機中也會被周圍人的支持，保持自己的地位。如果是缺乏這種能力的人的話，可能會經歷挫折，但有望東山再起。	
24	復	復，亨。出入無疾，朋來無咎。反復其道，七日來復。利有攸往。	這是從陰之中新的陽從下面出來的卦象。	物不可以終盡剝，窮上反下，故受之以復。	重來，往返，反覆，希望的枝芽，春天的跡象，回到初衷。	到目前為止，運氣一直是下降的，但從現在開始，會逐漸上升。	如果努力工作，就會逐漸達成。	到目前為止沒有被戀愛眷顧的人將會相遇的跡象。	已經放棄了的婚事將會談妥。	努力積累技巧的人。		如果繼續居住的話，會逐漸感到舒適。	如果價格低到現在，新的消息將誕生並逐漸上升。	去以前去過的地方為好。	腹痛、肝病、風濕病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 不遠復。無祇悔。元吉。 （在錯誤變大之前，可以回到正確的態度。這樣的話，就不會帶來遺憾，大吉。） → 發現錯誤，立即改善。無論多麼麻煩，重新出發都是吉。	六二 休復。吉。 （因為回到正確的姿勢，得到美感，吉。） → 當運氣發展之時。如果謹慎積極地行事，同時跟隨有影響力的人，吉。	六三 復頻。厲無咎。 (每次返回。因為經常失敗，所以這是危險的，但每次都能夠改變的話，沒有罪咎。) → 一遍又一遍地重複同樣的失敗。感情變得不穩定，但只要沒有忘記初衷的話就沒有罪咎。	六四 中行獨復。 （在和壞朋友一起去的路上，只有一個人浪子回頭。） → 對別人的言行感到違和感時，採取不同的行動。反省自戒，重回初衷。	六五 敦復。無悔。 （能夠回到正確的姿勢，是一個篤定的人。如果是那種人的話，沒有遺憾。） → 真誠地努力改變現狀的時候。雖然不能立即取得重大成果，但要踏實的邊累積實力邊前進。	上六 迷復，凶。有災眚。用行師、終有大敗，以其國君，凶。至于十年不克征。 （迷路到最後，回不到正確的姿勢。凶。會有災難和過失。如果以此來移動軍隊，最終可能會大敗。然而，巨大的失敗會危及到國君，凶。即使過了十年之後，也不能征服敵人。） → 一切都很不幸。繼續不了解自己的程度，馬上就會受到挫折。注意人禍和天災。	
25	?妄	無妄，元亨。利貞。其匪正有眚。不利有攸往。	無妄意味著沒有虛偽。以道理來說這是自然而然的的。	復則不妄矣，故受之以無妄。	沒有虛偽，離開正道會導致災難，天災，人禍，如果遵循會無事，私利私慾會招來不幸。	注意自然災害和人災。	如果敢於扮演自己的角色，而不抱有任何期待，就會成真。	當經歷命運的相遇時。	如果獨斷的決定的話會有災難。	脾氣暴躁的人。		由於容易發生災害，搬遷為吉。	根據社會情勢，可能會急劇上升。	天災或人災發生的的可能性很高。	頭痛、神經官能症、癲癇、胸痛、心臟病、受傷、挫傷等。								
26	大畜	大畜，利貞。不家食吉。利涉大川。	山（?）站起身來，阻止了想努力前進的天（?）的剛健。	有?妄然後可畜，故受之以大畜。	儲備很大，抱著雄心等待機會，開頭很難，但後來吉，忍耐，耐力，抑止，制止。	為即將到來的飛躍做好準備，應該努力學習之時。	運氣現在被抑制了，但是如果耐心等待機會，願望就會成真。	忌不耐煩。積極行動則適得其反。	比想的要晚。	抱著雄心大志，積累技巧的人。		忌新建或擴建。宜裝修，搬遷宜推遲較好。	未來是有希望的，但暫時不會增長。	如果是以前就已經規劃的旅行，無事。	頭痛、頭部挫傷、腹部拉傷、不食、便秘、血液循環障礙等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 有厲。利已。 （如果繼續會有危險。最好停下來。） → 目前缺乏能力。如果勉強去做，會嚐到挫折。最好努力學習，直到時機成熟。	九二 輿說輹。 （像車子自己將車軸拆下般，最好自己停止。） → 意識到現在還為時過早，避免自己前進。如果時期不誤，是光明的，好好克制自我。	九三 良馬逐。利艱貞。日閑輿衛。利有攸往。 (用來拉車的好馬逃走的話不追不行，但意識到困難並保護正道是有好處的。相反，訓練車伕和護衛兵來保護汽車是很重要的。這樣做即使向前邁進，也沒有危險，而是有利益的。) →預測困難且用行動來保護自己，而不是在沒有思考的情況下向前邁進。那樣的話前進，並賺取利潤。	六四 童牛之牿。元吉。 （就像在為一隻角還沒長出來的小牛綁好牛牿一樣，很容易就可以綁上。像這樣防範於未然的話，大吉。） → 如果有小障礙的話，現在就除去它。多少有一些障礙，但事情進展順利之時。	六五 豶豕之牙。吉。 （豬是可怕的存在，但如果結紮且讓它性其溫和的話，獠牙也不可怕。如果即使在發生障礙之後也能消除原因的話，吉。） → 如果繼續保持氣勢，會遭受挫折。徹底思考，並好好地保持消除障礙的態度，得吉。	上九 何天之衢。亨。 （通過背負通往天堂的道路，可以去任何地方。 願望成真。） → 以前成為障礙的東西被移除，並且終於向前邁進之時。通過展示自己的能力，希望成真。	
27	頤	頤，貞吉。觀頤自求口實。	山（?）是上顎，雷（?）是下顎，類似張開的嘴巴。	物畜然後可養，故受之以頤，頤者養也。	頤養，大張開嘴，飲食，言語，爭議，誇張，爭吵，合作。	很可能發生人際關係的衝突。	短期的希望是困難的。	儘管彼此吸引，但由於思維差異而引起爭吵。	雙方似乎都希望這樣做，但是關於經歷卻有秘密。	話多。不服輸而爭吵，喜歡議論的人。		裝修是好的。	一旦在高價格範圍內達到上限，就會直線下降。有波動。	長途旅行容易出事。	口腔疾病、牙痛、消化系統疾病、食慾不振等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 舍爾靈龜，觀我?頤。凶。 （不運用自己的智慧，羨慕他人的財富。凶。） → 不試圖去表現出自己的能力和智慧，卻嫉妒他人並嘗試不成比例地做某事而失敗。不要做新事物或發展事物。專注於努力而不必講究結果。	六二 顛頤，拂經于丘頤。征凶。 （被下面的人頤養是不合理的。但是，試圖強迫上面的人頤養自己也是凶。） → 向部下尋求幫助而失去信任。能力不足，而無法獲得他人幫助時。窮困之時。	六三 拂頤。貞凶。十年勿用。無攸利。 (違背頤養之道，就算頤養這個行為是正確的，因不合理，凶。十年都不得用。沒有利益。) → 因追求利潤，即使不是惡意的，也會受到批評。當得到一些東西時，同時也失去了其他東西。	六四 顛頤。吉。虎視眈眈，其欲逐逐，無咎。 （如果要滋潤世界，最好從下面的人開始。別輕視老虎低頭。追逐獵物的欲望自然流露而出。因為被廣泛地應用，沒有罪咎。） → 在部下中的人才或有才能的人的合作下，將穩步發展。但不是為自己工作，不要忘了為周圍環境努力。	六五 拂經。居貞吉。不可涉大川。 （儘管是在高位的人，但無法頤養人民。違背頤養之道。但是，由於頤養人們的動機是正確的，所以保持正確的道路並依靠上級是很好的。不要像獨自穿越河流那樣進行冒險。） → 無法展示出匹配高位的能力。即使看起來不錯，內在的能力不夠而很辛苦。通過與優秀人才的合作獲得成果。丟棄個人的私利私慾，以公平的態度面對。	上九 由頤。厲吉。利涉大川。 （在君主的授權下頤養人民。承擔責任，常自誡，謹慎自己的行動，就會獲得好運。可以克服橫穿大河的危險，除此之外未來還有其他利益。） → 當人們信任我們時，會有很多要求。在別人的要求和期望上花費的時間和精力要多於自己。如果竭盡全力滿足他人的期望，將能夠取得相應的成果。	
28	大過	大過，棟橈。利有攸往。亨。	大過的兩端是陰，中的四爻是陽。柱子很細，但屋頂太重，擔心會倒塌。	不養則不可動，故受之以大過。	做得太過，走過頭，過剩，不安，負擔，互相背負。	任何事都注意不要做太超過或走過頭。這是失敗和挫折的根源。	願望太大了，無法實現。請選符合現實的願望。	由於寄予厚望，關係成為負擔。	最好避免。	看起來不可靠，但性格過分自信。		不能進行新建，擴展或搬遷。	價格可能會超出預期，但可能會急劇下降，因為不是可靠的材料。	不要規劃不合理的計畫，現實地考慮。	肺結核，內臟疾病，腹部癌，酒精中毒，暴飲暴食等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 藉用白茅。無咎。 （鋪上白色乾淨的芽，放上供品。需過分仔細。沒有罪咎。） → 當一切都要警慎時。這是件好事。最好低估自己的能力。	九二 枯楊生稊，老夫得其女妻。無不利。 （新芽在垂死的柳樹上萌芽。這就像一個老丈夫與年輕妻子結合。無往不利。） → 原已經放棄的事又看見希望的徵兆。在新的合作夥伴和協助下取得進展。	九三 棟橈。凶。 (屋頂太重，支撐的棟樑彎曲。凶。) → 如果有不相符的願望，強行推動前進，將會遭到不幸。最好推遲或取消較好。	九四 棟隆。吉。有它吝。 （棟梁很好地隆起並承擔屋頂的重量，吉。但是試圖獲得他人的幫助是羞恥的。） →宜專注於應該做的事並努力時。但是，如果改變主意，將會失敗。	九五 枯楊生華，老婦得其士夫。無咎無譽。 （一棵垂死的柳樹開花了。這就像一個單身老婦和年輕丈夫結合。沒有罪咎，但也沒有榮譽。） → 原已經放棄的事又看見希望的徵兆。但是，它是暫時的，不會持續。最好不要得意忘形。	上六 過涉滅頂。凶。無咎。 （明知水深危險而仍強力涉水，以至慘遭滅頂，凶。但如果是有意志的人的話則沒有罪咎。） → 不可避免的情況，即使知道很危險仍跳下去。如果可以的話，最好逃避。	
29	坎	習坎，有孚，維心亨。行有尚。	本來，坎為水是很困難的卦象。與水雷屯，水山蹇和澤水困並稱四難卦。	物不可以終過，故受之以坎，坎者陷也。	苦難，憂慮，陷入，下掉，衰運，信念，誠實。	當困難和憂慮持續很長時間時。	努力無法取得結果。	有許多困難和憂慮，如果有戀人的話，最好暫時保持距離。	彼此不同意，凶。	有很多困難的人。		推遲新的構造和擴展則無事。	會急劇下降。	應該取消。	泌尿外科疾病，肝脾疾病，腹瀉，血便，血液疾病，月經不調等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 習坎，入于坎窞。凶。 （就像在該孔中有另一個孔，並位於其底部一樣。凶。） → 不幸和不幸重疊，無法預見未來的狀況。擔心錢和身體狀況。注意災難，盜竊和水災。 特別應該忍耐之時。	九二 坎有險。求小得。 （坎中有險。但是，如果提出要求，會有一些收穫。） → 在困難中看到一點希望時。如果能發揮自己的作用並忍受的話，機會將會到來。	六三 來之坎坎。險且枕。入于坎窞。勿用。 (不論從下或從上來，哪邊都有陷阱。這個洞很危險而且很深。就像在該孔的底部還有另一個孔。不要行動) → 無論做什麼都無法好轉，並且會遇到一連串麻煩。應該避免前進，專注於維持現狀。不要焦急，等待機會。	六四 樽酒簋?，用缶。納約自牖。終無咎。 （為了敬拜神明，有一樽酒和一盤穀物。然後準備一個沒有裝飾的甕。另外，通過窗戶輕輕送進祭品。即使在困難時期，如果用盡這種毫無裝飾的誠意，最終沒有罪咎。） → 當終於可以看見不幸的結尾的時候。應該節儉。比起注重外觀，更應通過識別本質來採取行動。	九五 坎不盈。祇既平，無咎。 （洞中有水，但還不足以溢出。但是，水面已到達洞口。困難很快就會消除，沒有罪咎。） → 困難和憂慮即將解決。一段時間後，運氣會上升，但仍不可大意。整理周圍的環境，為新的飛躍做準備。	上六 ?用徽纆、寘于叢棘。三歲不得。凶。 （就像被反復用繩子捆起來，留在荊棘叢中一樣。三年無法離開。凶。） → 三年都不能擺脫困境。無論做什麼都是反效果，根本無法移動時。即使付出了努力也不會得到回報。只能忍受。	
30	離	離利貞。亨。畜牝牛。吉。	火沒有形狀，但是通過粘在其他物體上或與其他物體分開而燃燒來表示。	陷必有所麗，故受之以離，離者麗也。	依附，離開，離別，變化，上升，光明，顯眼，顯著，美麗，智慧。	財富有上升的趨勢，但善變且缺乏穩定性。	學問，藝術和藝能有關的事情將成真。	容易沉迷其中，但容易飄移不定。	婚姻還有其他選擇，很茫然。	有智慧和格調的人。具有藝術和表演的才能。		有搬遷的跡象。 如果有良好的物件的話搬遷是好的。	不斷上升，但不穩定，波動很多次。	注意不要陷入虧空。	眼病，歇斯底里，心臟病，乳腺疾病，病毒?流行性疾病，高燒疾病。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 履錯然。敬之?咎。 （不知道方向就嘗試走出去。如果可以不著急著行動且謹慎的話，沒有罪咎。） → 輕率的行為會使情況惡化。仔細考慮，直到時機成熟。	六二 黃離，元吉。 （黃色是五行的中心土壤的顏色。如果下卦（內卦）中央的六二得黃的話，大吉。） → 可以發揮自己的智慧和才能贏得名聲和榮譽。參與文化活動甚至更好。不要將注意力轉移到其他事物上，專注於眼前的事物並努力。	九三 日昃之離。不鼓缶而歌，則大耋之嗟。凶。 (太陽向西傾斜，快要沉下去了。如果沒有結束時敲著酒甕歌唱這種快樂的心境的話，只會有一種古老而腐朽的嘆息。凶。) → 運氣傾斜之時，什麼事都無法順利。與其哀悼過去的輝煌，不如專注於當下生活並享受。但是，需避免魯莽的行為。	九四 突如其來如。焚如。死如，棄如。 （就像前一個君主去世而下一個君主即將就任時，貪圖王位的邪惡家臣突然前來。這樣的人將會遭到被焚毀並扔掉般的惡事。） → 如果突然輕率地行動的話，將被周圍的人所憎恨，失去自己的位置。當災難，妨礙，障礙和事故等壞事重疊時。不用說也知這是凶，所以請靜靜地等待衰運離去。	六五 出涕沱若。戚嗟若。吉。 （對於自己處於危險的位置，無休止地流著眼淚，哀嘆著哀悼的悲傷。如此日夜不安，意識到危險並保持警惕。吉。） → 處在負責任的位置，有很多擔心的事，不能放鬆。但是，對於擔心的事只要抱持著信念不停的思考才是解決的條件。如果能保持這種態度，吉。	上九 王用出征。有嘉折首。獲匪其醜，無咎。 （國王自己出發征討。作為大功，斬首惡人的頭目。唯一能被斬首的就是惡人，為了保護國家。有這些美德的話，就沒有罪咎。） → 以大義為名，應積極地採取強硬的手段。當特別追求達成目標時。如果態度優柔寡斷，那麼運氣就會下降。	
31	咸	咸，亨。利貞。取女吉。	澤（?）的水從上流到下，山（?）是向上延伸，彼此融為一體。	有天地然後有萬物，	感應，溝通，戀愛，結婚，迅速。	有意想不到的好事時。	能感受到機會之時，宜迅速採取行動。	意氣相投親密度高漲之時。	彼此有好感將是一段美好的婚姻。	小心謹慎，有行動力的人。		現狀是十分平穩的。	沒有大的動作，以很小的步伐上升和下降。	這將是平穩的旅行。	由於季節性變化而導致的抑鬱症，傳染病，傳染病，性病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 咸其拇。 （大腳趾感應某些動作而移動。） → 這是變革的開始，但力量微弱。與其嘗試獨自移動，不如等待時間自然移動。	六二 咸其腓。凶。居吉。 （小腿感應某事而運動。如果不自制就行動的話，凶。不動則吉。） → 如果感情用事，凶。現在不是行動的時候，如果嘗試維持現狀，吉。	九三 咸其股。執其隨。往吝。 (感應到某些事，大腿跟著腳移動。大腿自身不能移動沒有自主性，因此前進將會招來羞恥。) → 應他人邀請而失敗。不繼續行動，保持現狀時。	九四 貞吉悔亡。憧憧往來，朋從爾思。 （如果守護正道，吉，悔恨也將消失。如果只是為了自己的慾望來回徘徊，充其量只有少數朋友會回應您的想法。） → 自私自利使良心不安，錯過了機會。現在是時候嘗試做正確的事並且感應光明正大之事。	九五 咸其脢。無悔。 （感應到某些事，後背的肉將要移動。因後背位於身體的內側，是孤高的。因此，什麼都不後悔。） → 保持冷靜的態度。用理性來控制自己的情緒。但是，儘管情況安全，仍會感到孤獨。	上六 咸其輔?舌。 （感應到某些事，上下巴，臉頰和舌頭將要移動。） → 須注意用詞之時。不要跟隨他人賺錢的話題。另外，不要讓自己的言語失去信任。	
32	恒	恆，亨。無咎。利貞。利有攸往。	看起來太陽和月亮每天都在變化，但是如果大局上看，它們始終保持不變。	夫婦之道，不可以不久也，故受之以恆，恆者久也。	恆久，恆常，安定，平穩，婚姻。	到現在為止不穩定的東西變得穩定。	新事物和抱負不會實現，但相應的願望就會成真。	長期穩定的關係。	因發誓為永久愛情，宜結婚。	待人厚實，溫和的性格。		有微小的變化，每次的對應都會帶來平穩的結果。	可能會微幅向上或向下，基本是穩定的。	慣例的旅行很安全。	肺部疾病，胃腸或肝臟疾病等。如果持續不關注健康，將患有慢性病。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 浚恆。貞凶。無攸利。 （深入他人並要求他人合理行事。意圖是正確的，但這是凶。沒有好處。） → 當誤解了物的秩序而失敗之時。與其關注自身行動的正確性，不如關注世界如何看待自己的行動。	九二 悔亡。 （如果保持中庸的態度，將不會遇到任何後悔的事情。） → 如果採取相應的措施則無事。	九三 不恆其德。或承之羞。貞吝。 （如果不能永久地待在正確的地方，將會感到羞愧。即使意圖正確，也是一件羞恥的事。） → 認為良好的行為是造成恥辱的原因。小心不要變的獨斷。	九四 田無禽。 （永遠待在錯誤的地方，也無法獲得任何東西。） →徒勞無功之時。態度和方針存在錯誤，因此應該重新審視自己，然後重新開始。	六五 恆其德貞。婦人吉、夫子凶。 （永久在正確的位置。守護正道。這對於即使不主動也會守護自己的居所的妻子來說是吉。對於需要自己主動的丈夫來說是凶。 ） → 保持現狀將帶來機遇。婦女保持順從的態度，吉。對男性來說是凶時。	上六 振恆。凶。 （高處的人們正微幅移動。因不穩定，凶。） → 到現在為止穩定的東西變得不穩定。焦躁不安，改變目標和方針，但結果一無所獲。	
33	遯	遯，亨。小利貞。	遯的意思是逃跑，撤退，迴避。	物不可以久居其所，故受之以遯，遯者退也。	逃跑，撤退，遁隱，不協調	當運氣上升的時期過去了，而運氣正在下降。	與新事物或擴展相關的願望無法實現。	當漸漸失去熱情，變得不協調之時。	婚姻沒有共識。 最好不要以勉強來解決。	因討厭人的性格，內向且消極。		是時候該搬離了。	逐漸從高價位落下。	最好不要進行這次的旅行。	臉部浮腫，虛脫感，便秘等	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 遯尾。厲。勿用有攸往。 （逃得太晚變成最後一個。有危險。不要採取積極的行動。） → 當對應落後且運氣衰退之時。注重保持現狀。	六二 執之用黃牛之革。莫之勝說。 （志向的硬度與用黃牛製成的皮革一樣堅硬。沒人能解開它。） → 牢牢保護自己，不要外出。整理到目前為止的事為好。	九三 ?遯。有疾厲。畜臣妾吉。 （下的二陰和繫住後髮不能決定逃跑。這會導致像疾病一樣疲憊，很危險。宜畜養僕人時。） → 因人際關係行動受到制約，無法如願行動之時。因為操勞會耗盡精力，小心疾病。	九四 好遯。君子吉，小人否。 （儘管有喜歡的人，但可以下定決心逃跑。如果是君子的話，吉，但是如果是普通人的話不會變成吉。） → 理性地思考事物，並丟棄不必要的事物。但是，在許多情況下，逃不出執著而迷惘決定。	九五 嘉遯。貞吉。 （可以以一種很好的方式遁隱。如果保持正道並且內心是正確的，吉。） → 現在是引退或退休的好時機。如果錯過了這個機會並嘗試走得更遠，將會失敗。	上九 肥遯。無不利。 （可以在遠方遁隱。只有利潤。） →可以無障礙地引退或退休，並受到周圍人的祝福。之後，可以慢慢地花時間做自己想做的事情。	
34	大壯	大壯，利貞。	大壯意味著繁榮，運氣上升和發展的時期。	物不可以終遯，故受之以大壯。	壯大，盛大，勇猛，發展，氣勢，向前衝，做得太過	當充滿精力和體力，並乘著氣勢前進之時。	相應的事情都會成真。	氣勢太大，對方撤退了。或發展成爭議和爭吵。	大壯卦可以看作是一個大的兌（?），如下所示。	積極且有自信的人。		不要立即行動須靜觀其變。	如果當前價格低，將飆升。	不要忘記做好準備和慎重。	劇烈頭痛，口腔和咽喉疾病，受傷，發高燒等	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 壯于趾。征凶。有孚。 （腳踝正在積極向前移動。最底層的初九試圖前進是因為不知道自己的程度。如果行動必定是凶。） → 如果不加思索地行動，將會有災難。現在不是行動的時候。靜觀等待機會等待。	九二 貞吉。 （在盛大的氣勢中，留心中庸保持正道，那將是吉。） → 保持現狀，做任何事都拘謹冷靜應對。注意不要將注意力轉移到新事物上。	九三 小人用壯，君子用罔。貞厲。羝羊觸藩羸其角。 （小人執著於贏得對手，動用很多蠻力。君子試圖贏過自己，所以沒有動用蠻力。使用蠻力時，即使保持正道也很危險。就像一隻公羊暴走而陷入樹籬，因其角纏著荊棘而痛苦。） → 變得過分自信並向前猛進，但最終失敗了。現在停止前進並嘗試保護現狀。	九四 貞吉。悔亡。藩決不羸。壯于大輿之輹。 （如果選擇正確的道路則吉，而悔恨會提前消失。即使牡羊開始奔跑，樹籬也會打開，荊棘也不會纏在角上。因為大型汽車有堅固的軸，所以可以大大地向前邁進。） → 可以順勢前進。不必擔心，如果顯示出平常的實力，將順利進行。	六五 喪羊于易。無悔。 （羊在田間小路丟失，但並不會後悔。） → 氣勢過強的時代已經過去，無需警惕，安心來訪。最好不要讓慾望浮出水面，而要臨機應變讓時間流逝。	上六 羝羊觸藩，不能退、不能遂。無攸利。艱則吉。 （一隻牡羊暴走並陷入樹籬中，無法後退和前進。沒有任何利益。但是，如果意識到困難的立場並且能夠忍受，最終將是吉。） → 由於過度自信而向前猛進，進退兩難之時。如果意識到自己的力量不足，即使在困難的狀況下也可以忍受就不必勉為其難移動，那將是吉。	
35	晉		顯示了太陽如何射向地面並逐漸升起。	物不可以終壯，故受之以晉，晉者進也。	日出，前進，光明，受歡迎，升官，名譽，名聲	當困難消除，運氣終於上升之時。	通過不斷的努力，一直期望的目標最終將實現。	與從未有過相遇之福的人發生新的相遇時。	積極促進婚事是一件好事。	堅定前進的個性。		新建，改建，搬遷，一切都很好。	如果到目前為止停滯不前，將呈上升趨勢。	這將是一個快樂的旅程。	頭痛，發狂，中暑，因感冒發燒，心臟病，傳染病等								
36	明夷		意味著太陽進入地下並變得黑暗。	進必有所傷，故受之以明夷，夷者傷也。	傷痕，破裂，黑暗，夜晚，擔憂，困難，欺詐	有許多困難時，例如被妨礙或誹謗。	願望不會實現。忍受憤怒和苦難，不要輕舉妄動，等待時機到來。	對他人隱藏的愛。	不成立。	有天賦和能力，但不走運的人。		住起來不舒服。	這將是一個黯淡的時期。	應該取消。	神經衰弱，神經症，心臟病，肺病，眼病，胃癌，胃腸道癌等								
37	家人		八卦中，巽（?）表示長女，離（?）表示次女。	傷於外者必反其家，故受之以家人。	家人，家族，和平，婚姻	比起重視外部，更該重視內部時。	大的願望很難實現。	很淡然，但是正在穩步發展。	雖然平凡，但可以建立一個平穩的家。良緣。	愛家且順從。		宜維持現狀。	沒有大幅度的上下波動，會變得平靜。	宜小型家庭旅行。	發燒，發冷，心臟病，眼病，腫瘤，精力減少，月經不調等。								
38	睽		火（?）上升，?（?）的流向向下。	家道窮必乖，故受之以睽，睽者乖也。	反叛、相互怨恨、不親和、齟齬、違背、不信任	事情沒有按計劃進展，發生失誤或誤解。	小願望是可以實現的。	當彼此的意見不合而不能順利進行時。	應該暫停。	乖僻性格彆扭的人。		宜改建、搬遷。	現實與前景相反。	總之，會出現很多錯誤。	發燒、嘔吐、頭痛、咳嗽等。								
39	蹇		坎（?）是煩惱，艮（?）是停止。	乖必有難，故受之以蹇，蹇者難也。	煩惱、疼痛、艱辛、障礙、服從上司	由於障礙無法取得進展。	有很多困難和艱辛，願望沒有實現。	有很多不和及衝突，不能獲得親和。或是離別也是有的。	因為條件不齊全，所以很難談成。	環境不好，不能輕易取得成果的人。		居住環境不是很好。	如果是短線交易的話，不會按預期上漲，會造成虧損。	旅途中有困難和艱辛。	消化不良，由於受涼導致各種疾病，足部受傷，行走困難等。								
40	解	解，利西南。無所往，其來復吉。有攸往，夙吉。	迄今為止所遇到的困難正開始得到解決。	物不可以終難，故受之以解，解者緩也。	溶解，解決，解除，解散，緩和，融雪，春	當過去的困難得到解決，情況有所好轉時。	如果迅速行動就會成真。	煩惱著沒有邂逅的人將會有好運到來。	錯過了婚期的人，姻緣會到來。	一個表面看起來很放鬆，但內在有智慧的人。		改建有缺陷的部分是好的。	如果到目前為止一直處於低位，則有上升趨勢。	宜往西南方走。	胃腸或肺臟等內臟疾病。內部疾病的根源有浮出表面並惡化的傾向。								
